source,target,weight,count,tags
dsyer,AndreasKl,4.0,2,pr_comment:2
sbrannen,unknown,3.0,1,issue_comment:1
dsyer,bijukunjummen,4.0,2,pr_comment:2
YudhistiraArya,unknown,6.0,2,issue_comment:2
gregturn,unknown,33.0,11,issue_comment:11
wilkinsona,jerrinot,2.0,1,pr_review_comment:1
adrianpillinger,unknown,3.0,1,issue_comment:1
glaforge,unknown,3.0,1,issue_comment:1
jonson,unknown,3.0,1,issue_comment:1
dsyer,ggerard,2.0,1,pr_comment:1
jbrisbin,unknown,6.0,2,issue_comment:2
odrotbohm,thomasdarimont,4.0,2,pr_comment:2
popcornylu,unknown,3.0,1,issue_comment:1
dsyer,yanhua365,4.0,2,pr_comment:2
wilkinsona,gregturn,2.0,1,pr_comment:1
syparth,unknown,3.0,1,issue_comment:1
admir200,unknown,9.0,3,issue_comment:3
fhanik,unknown,12.0,4,issue_comment:4
oliver-schoenherr,unknown,3.0,1,issue_comment:1
dsyer,juvpoblotzki,6.0,3,pr_comment:3
snicoll,unknown,8.0,4,pr_review_comment:4
zyro23,unknown,9.0,3,issue_comment:3
philwebb,glazing-saddles,4.0,2,pr_comment:2
checketts,unknown,9.0,3,issue_comment:3
bijukunjummen,unknown,9.0,3,issue_comment:3
daschl,unknown,3.0,1,issue_comment:1
sebge2,unknown,3.0,1,issue_comment:1
jbayer,unknown,3.0,1,issue_comment:1
odrotbohm,unknown,9.0,3,issue_comment:3
dsyer,cppwfs,4.0,2,pr_comment:2
igo,unknown,6.0,2,issue_comment:2
leifhanack,unknown,6.0,2,issue_comment:2
cdupuis,gregturn,2.0,1,pr_comment:1
gerjantd,unknown,18.0,6,issue_comment:6
timsporcic,unknown,3.0,1,issue_comment:1
berinle,unknown,18.0,6,issue_comment:6
philwebb,odrotbohm,2.0,1,pr_comment:1
msgilligan,unknown,24.0,8,issue_comment:8
mikaelhg,unknown,12.0,4,issue_comment:4
camechis,unknown,3.0,1,issue_comment:1
aclement,gregturn,2.0,1,pr_comment:1
masrawi,unknown,3.0,1,issue_comment:1
philwebb,nitram509,4.0,2,pr_comment:2
philwebb,gregturn,8.0,4,pr_comment:4
dodgex,unknown,3.0,1,issue_comment:1
dsyer,isopov,4.0,2,pr_comment:2
jeado,unknown,3.0,1,issue_comment:1
sshcherbakov,unknown,9.0,3,issue_comment:3
tomazfernandes,unknown,2.0,1,pr_review_comment:1
dsyer,rwinch,6.0,3,pr_comment:3
ukitzmann,unknown,3.0,1,issue_comment:1
SpringyTux,unknown,3.0,1,issue_comment:1
dsyer,unknown,399.0,133,issue_comment:133
cdupuis,nitram509,2.0,1,pr_comment:1
dsyer,lecaros,2.0,1,pr_comment:1
verrol,unknown,3.0,1,issue_comment:1
eddumelendez,neiser,2.0,1,pr_review_comment:1
mhalbritter,unknown,2.0,1,pr_review_comment:1
dsyer,royclarkson,6.0,3,pr_comment:3
dsyer,cdupuis,2.0,1,pr_comment:1
zhuzhengwen1983,unknown,12.0,4,issue_comment:4
dsyer,odrotbohm,4.0,2,pr_comment:2
xylifyx2,unknown,3.0,1,issue_comment:1
dsyer,mdeinum,2.0,1,pr_comment:1
jhoeller,unknown,6.0,2,issue_comment:2
nebhale,unknown,15.0,5,issue_comment:5
philwebb,thomasdarimont,6.0,3,pr_comment:3
kaczynskid,unknown,3.0,1,issue_comment:1
philwebb,dbuchko,4.0,2,pr_comment:2
tkruse,unknown,9.0,3,issue_comment:3
wilkinsona,ghost,2.0,1,pr_review_comment:1
PerGon,unknown,6.0,2,issue_comment:2
dsyer,glazing-saddles,2.0,1,pr_comment:1
cdupuis,unknown,15.0,5,issue_comment:5
odrotbohm,mdeinum,2.0,1,pr_comment:1
AbhayParab,unknown,6.0,2,issue_comment:2
nosan,unknown,2.0,1,pr_review_comment:1
philwebb,bijukunjummen,4.0,2,pr_comment:2
marc0der,unknown,3.0,1,issue_comment:1
thebignet,unknown,15.0,5,issue_comment:5
mminella,unknown,6.0,2,issue_comment:2
philwebb,chanwit,2.0,1,pr_comment:1
philwebb,unknown,102.0,34,issue_comment:34
nhniches,unknown,3.0,1,issue_comment:1
ewolff,unknown,9.0,3,issue_comment:3
mfkenson,unknown,6.0,2,issue_comment:2
yanhua365,unknown,9.0,3,issue_comment:3
dsyer,sshcherbakov,8.0,4,pr_comment:4
hadolen,unknown,3.0,1,issue_comment:1
dsyer,ewolff,2.0,1,pr_comment:1
dsyer,gregturn,8.0,4,pr_comment:4
mikaelhg,mdeinum,6.0,3,pr_comment:3
dsyer,nitram509,2.0,1,pr_comment:1
wilkinsona,unknown,26.0,11,pr_review_comment:7;issue_comment:4
royclarkson,unknown,2.0,1,pr_review_comment:1
abhinavlele,unknown,9.0,3,issue_comment:3
jarias,unknown,6.0,2,issue_comment:2
